,value
long,93.99696880082803
short,-94.66317314246763
ir,
ic,
SR,-0.03127332167446154
Annualized_Ret,-2.649760029999337
Annualized_SR,-3.1154091025600916
Net_Ret,0.4636139000000025
Net_Profit,-536386.0999999981
Gross_Profit,-190095.99999999814
maxdd,-0.5970277999999976
tvr,0.05059738517704073
win,0.46434387317432885
