,value
long,50.0
short,
ir,
ic,
SR,-0.01608158841432901
Annualized_Ret,-0.10776845339030976
Annualized_SR,-2.54630777590219
Net_Ret,0.9727710000000005
Net_Profit,-27228.99999999992
Gross_Profit,-27228.99999999992
maxdd,-0.049660999999996625
tvr,0.001316723170165685
win,0.4843314763231198
