,value
long,0.04627009176892618
short,
ir,-0.04659325196527106
ic,-0.010407461923963239
SR,-0.04330270347576481
Annualized_Ret,-2.4204157745610364
Annualized_SR,-4.909655132781853
Net_Ret,-0.31695920857346904
Gross_Ret,-0.25355452794778366
maxdd,-0.4467707946683902
tvr,733.3355471766811
win,0.4122370577946294
