,value
long,50.0
short,
ir,
ic,
SR,-0.027188870243390215
Annualized_Ret,-0.1835520895186671
Annualized_SR,-4.213753186327191
Net_Ret,0.9545046999999944
Net_Profit,-45495.29999999991
Gross_Profit,-27228.99999999992
maxdd,-0.0642015000000048
tvr,0.0013268238186598198
win,0.4843314763231198
