,cumulative_return,cumulative_capital,maxdd
2022-05-26-09:40,1.0,1000000.0,0.0
2022-05-26-09:45,0.99987,999870.0,-0.00012999999999996348
2022-05-26-09:50,0.9990114,999011.4,-0.0009886000000000061
2022-05-26-09:55,1.0008101,1000810.1,-0.0009886000000000061
2022-05-26-10:00,1.0021321,1002132.1,-0.0009886000000000061
2022-05-26-10:05,1.0014791,1001479.1,-0.0009886000000000061
2022-05-26-10:10,1.0019888000000001,1001988.7999999999,-0.0009886000000000061
2022-05-26-10:15,1.0018035,1001803.4999999999,-0.0009886000000000061
2022-05-26-10:20,1.0012922000000002,1001292.1999999998,-0.0009886000000000061
2022-05-26-10:25,1.0005402000000003,1000540.1999999998,-0.0015918999999997574
2022-05-26-10:30,1.0012102000000003,1001210.1999999998,-0.0015918999999997574
2022-05-26-10:35,1.0015239000000002,1001523.8999999998,-0.0015918999999997574
2022-05-26-10:40,1.0011866000000003,1001186.5999999997,-0.0015918999999997574
2022-05-26-10:45,1.0005780000000002,1000577.9999999998,-0.0015918999999997574
2022-05-26-10:50,1.0010070000000002,1001006.9999999998,-0.0015918999999997574
2022-05-26-10:55,1.0017327000000003,1001732.6999999998,-0.0015918999999997574
2022-05-26-11:00,1.0009927000000003,1000992.6999999998,-0.0015918999999997574
2022-05-26-11:05,1.0007407000000004,1000740.6999999998,-0.0015918999999997574
2022-05-26-11:10,1.0008487000000004,1000848.6999999998,-0.0015918999999997574
2022-05-26-11:15,1.0009927000000003,1000992.6999999998,-0.0015918999999997574
2022-05-26-11:20,1.0009274000000004,1000927.3999999998,-0.0015918999999997574
2022-05-26-11:25,1.0007424000000003,1000742.3999999998,-0.0015918999999997574
2022-05-26-11:30,1.0010191000000002,1001019.0999999997,-0.0015918999999997574
2022-05-26-13:05,1.0019725000000002,1001972.4999999998,-0.0015918999999997574
2022-05-26-13:10,1.0016686000000001,1001668.5999999997,-0.0015918999999997574
2022-05-26-13:15,1.0013456,1001345.5999999997,-0.0015918999999997574
2022-05-26-13:20,1.0017856,1001785.5999999997,-0.0015918999999997574
2022-05-26-13:25,1.0023786,1002378.5999999997,-0.0015918999999997574
2022-05-26-13:30,1.0015143,1001514.2999999997,-0.0015918999999997574
2022-05-26-13:35,1.0020689999999999,1002068.9999999997,-0.0015918999999997574
2022-05-26-13:40,1.0008707,1000870.6999999996,-0.0015918999999997574
2022-05-26-13:45,1.0016307,1001630.6999999996,-0.0015918999999997574
2022-05-26-13:50,1.0013307,1001330.6999999996,-0.0015918999999997574
2022-05-26-13:55,1.0017187,1001718.6999999996,-0.0015918999999997574
2022-05-26-14:00,1.0013207000000002,1001320.6999999996,-0.0015918999999997574
2022-05-26-14:05,1.0004657000000001,1000465.6999999996,-0.0019128999999997731
2022-05-26-14:10,0.9993327000000001,999332.6999999996,-0.0030458999999998237
2022-05-26-14:15,1.0003124,1000312.3999999996,-0.0030458999999998237
2022-05-26-14:20,0.9999925000000001,999992.4999999995,-0.0030458999999998237
2022-05-26-14:25,0.9997305000000001,999730.4999999995,-0.0030458999999998237
2022-05-26-14:30,0.9996895,999689.4999999995,-0.0030458999999998237
2022-05-26-14:35,1.0001022,1000102.1999999995,-0.0030458999999998237
2022-05-26-14:40,0.9994521999999999,999452.1999999995,-0.0030458999999998237
2022-05-26-14:45,0.9989995999999999,998999.5999999995,-0.003379000000000021
2022-05-26-14:50,0.998613,998612.9999999995,-0.0037655999999999246
2022-05-26-14:55,0.9981129999999999,998112.9999999995,-0.0042655999999999805
2022-05-26-15:00,0.9990616999999998,999061.6999999995,-0.0042655999999999805
2022-05-27-09:35,1.0012166999999996,1001216.6999999995,-0.0042655999999999805
2022-05-27-09:40,0.9971686999999996,997168.6999999995,-0.005209900000000323
2022-05-27-09:45,0.9973608999999997,997360.8999999994,-0.005209900000000323
2022-05-27-09:50,0.9978808999999996,997880.8999999994,-0.005209900000000323
2022-05-27-09:55,0.9979655999999997,997965.5999999994,-0.005209900000000323
2022-05-27-10:00,0.9980162999999996,998016.2999999993,-0.005209900000000323
2022-05-27-10:05,0.9975982999999996,997598.2999999993,-0.005209900000000323
2022-05-27-10:10,0.9972239999999996,997223.9999999993,-0.005209900000000323
2022-05-27-10:15,0.9978799999999995,997879.9999999993,-0.005209900000000323
2022-05-27-10:20,0.9975586999999995,997558.6999999993,-0.005209900000000323
2022-05-27-10:25,0.9977973999999994,997797.3999999992,-0.005209900000000323
2022-05-27-10:30,0.9973133999999994,997313.3999999992,-0.005209900000000323
2022-05-27-10:35,0.9973253999999993,997325.3999999992,-0.005209900000000323
2022-05-27-10:40,0.9978733999999994,997873.3999999992,-0.005209900000000323
2022-05-27-10:45,0.9972453999999993,997245.3999999992,-0.005209900000000323
2022-05-27-10:50,0.9973933999999993,997393.3999999992,-0.005209900000000323
2022-05-27-10:55,0.9973093999999993,997309.3999999992,-0.005209900000000323
2022-05-27-11:00,0.9980320999999993,998032.0999999992,-0.005209900000000323
2022-05-27-11:05,0.9979057999999993,997905.7999999991,-0.005209900000000323
2022-05-27-11:10,0.9977537999999994,997753.7999999991,-0.005209900000000323
2022-05-27-11:15,0.9979437999999995,997943.7999999991,-0.005209900000000323
2022-05-27-11:20,0.9983824999999994,998382.4999999991,-0.005209900000000323
2022-05-27-11:25,0.9979011999999995,997901.199999999,-0.005209900000000323
2022-05-27-11:30,0.9974258999999994,997425.899999999,-0.005209900000000323
2022-05-27-13:05,0.9969358999999994,996935.899999999,-0.005442700000000467
2022-05-27-13:10,0.9974882999999993,997488.299999999,-0.005442700000000467
2022-05-27-13:15,0.9972282999999993,997228.299999999,-0.005442700000000467
2022-05-27-13:20,0.9981669999999994,998166.999999999,-0.005442700000000467
2022-05-27-13:25,0.9982856999999994,998285.6999999989,-0.005442700000000467
2022-05-27-13:30,0.9981156999999994,998115.6999999989,-0.005442700000000467
2022-05-27-13:35,0.9982280999999994,998228.0999999989,-0.005442700000000467
2022-05-27-13:40,0.9978417999999994,997841.7999999989,-0.005442700000000467
2022-05-27-13:45,0.9977337999999994,997733.7999999989,-0.005442700000000467
2022-05-27-13:50,0.9982177999999994,998217.7999999989,-0.005442700000000467
2022-05-27-13:55,0.9981897999999993,998189.7999999989,-0.005442700000000467
2022-05-27-14:00,0.9977777999999994,997777.7999999989,-0.005442700000000467
2022-05-27-14:05,0.9978097999999993,997809.7999999989,-0.005442700000000467
2022-05-27-14:10,0.9977777999999993,997777.7999999989,-0.005442700000000467
2022-05-27-14:15,0.9976604999999993,997660.4999999988,-0.005442700000000467
2022-05-27-14:20,0.9982781999999992,998278.1999999988,-0.005442700000000467
2022-05-27-14:25,0.9977268999999993,997726.8999999987,-0.005442700000000467
2022-05-27-14:30,0.9976345999999993,997634.5999999987,-0.005442700000000467
2022-05-27-14:35,0.9977845999999992,997784.5999999987,-0.005442700000000467
2022-05-27-14:40,0.9975832999999992,997583.2999999986,-0.005442700000000467
2022-05-27-14:45,0.9975379999999991,997537.9999999986,-0.005442700000000467
2022-05-27-14:50,0.9977366999999991,997736.6999999986,-0.005442700000000467
2022-05-27-14:55,0.9977226999999992,997722.6999999986,-0.005442700000000467
2022-05-27-15:00,0.9981416999999992,998141.6999999986,-0.005442700000000467
2022-05-30-09:35,0.9978753999999992,997875.3999999985,-0.005442700000000467
2022-05-30-09:40,0.9973420999999991,997342.0999999985,-0.005442700000000467
2022-05-30-09:45,0.997878199999999,997878.1999999984,-0.005442700000000467
2022-05-30-09:50,0.9971128999999991,997112.8999999984,-0.005442700000000467
2022-05-30-09:55,0.9973978999999991,997397.8999999984,-0.005442700000000467
2022-05-30-10:00,0.997026599999999,997026.5999999983,-0.005442700000000467
2022-05-30-10:05,0.998121299999999,998121.2999999983,-0.005442700000000467
2022-05-30-10:10,0.997511299999999,997511.2999999983,-0.005442700000000467
2022-05-30-10:15,0.997213999999999,997213.9999999983,-0.005442700000000467
2022-05-30-10:20,0.9976759999999989,997675.9999999983,-0.005442700000000467
2022-05-30-10:25,0.9972506999999988,997250.6999999982,-0.005442700000000467
2022-05-30-10:30,0.9972793999999988,997279.3999999982,-0.005442700000000467
2022-05-30-10:35,0.9974260999999988,997426.0999999981,-0.005442700000000467
2022-05-30-10:40,0.9982027999999987,998202.7999999981,-0.005442700000000467
2022-05-30-10:45,0.9976267999999988,997626.7999999981,-0.005442700000000467
2022-05-30-10:50,0.9977467999999987,997746.7999999981,-0.005442700000000467
2022-05-30-10:55,0.9973787999999988,997378.7999999981,-0.005442700000000467
2022-05-30-11:00,0.9973094999999987,997309.499999998,-0.005442700000000467
2022-05-30-11:05,0.9982268999999987,998226.899999998,-0.005442700000000467
2022-05-30-11:10,0.9976378999999987,997637.899999998,-0.005442700000000467
2022-05-30-11:15,0.9975245999999988,997524.599999998,-0.005442700000000467
2022-05-30-11:20,0.9973005999999988,997300.599999998,-0.005442700000000467
2022-05-30-11:25,0.9979499999999988,997949.999999998,-0.005442700000000467
2022-05-30-11:30,0.9976073999999988,997607.399999998,-0.005442700000000467
2022-05-30-13:05,0.9956140999999987,995614.099999998,-0.006764500000001172
2022-05-30-13:10,0.9970827999999987,997082.799999998,-0.006764500000001172
2022-05-30-13:15,0.9977934999999988,997793.4999999979,-0.006764500000001172
2022-05-30-13:20,0.9970121999999988,997012.1999999979,-0.006764500000001172
2022-05-30-13:25,0.9980408999999988,998040.8999999978,-0.006764500000001172
2022-05-30-13:30,0.9974758999999987,997475.8999999978,-0.006764500000001172
2022-05-30-13:35,0.9981745999999986,998174.5999999978,-0.006764500000001172
2022-05-30-13:40,0.9974572999999987,997457.2999999977,-0.006764500000001172
2022-05-30-13:45,0.9971889999999987,997188.9999999977,-0.006764500000001172
2022-05-30-13:50,0.9980936999999985,998093.6999999976,-0.006764500000001172
2022-05-30-13:55,0.9984136999999985,998413.6999999976,-0.006764500000001172
2022-05-30-14:00,0.9984473999999987,998447.3999999976,-0.006764500000001172
2022-05-30-14:05,0.9983820999999987,998382.0999999975,-0.006764500000001172
2022-05-30-14:10,0.9985710999999987,998571.0999999975,-0.006764500000001172
