,value
long,94.04509967406958
short,-94.00373412994772
ir,
ic,
SR,-0.019861877030295762
Annualized_Ret,-2.076068892356639
Annualized_SR,-4.665497976159207
Net_Ret,0.5013409999999964
Net_Profit,-498659.00000000116
Gross_Profit,244303.99999999875
maxdd,-0.529914600000003
tvr,0.11079319345313875
win,0.48197142064793413
