,value
long,6.30238025271819
short,-49.48394618834081
ir,
ic,
SR,0.0038771659168714656
Annualized_Ret,6.431761806270037
Annualized_SR,0.37254058913680366
Net_Ret,-5.993209298610195e-20
Net_Profit,-53934.30000000019
Gross_Profit,-47693.000000000204
maxdd,8.81344932758077
tvr,0.0016750094385489527
win,0.5122261693309652
