,cumulative_return,cumulative_capital,maxdd
2022-05-26-09:40,1.0,1000000.0,0.0
2022-05-26-09:45,1.001191,1001191.0,0.0
2022-05-26-09:50,1.0004283999999999,1000428.4,-0.0007626000000000577
2022-05-26-09:55,1.0023270999999998,1002327.1,-0.0007626000000000577
2022-05-26-10:00,1.0029930999999999,1002993.1,-0.0007626000000000577
2022-05-26-10:05,1.0023400999999998,1002340.1,-0.0007626000000000577
2022-05-26-10:10,1.0028267999999998,1002826.7999999999,-0.0007626000000000577
2022-05-26-10:15,1.0027054999999998,1002705.4999999999,-0.0007626000000000577
2022-05-26-10:20,1.0022121999999998,1002212.1999999998,-0.0007809000000000843
2022-05-26-10:25,1.0014602,1001460.1999999998,-0.0015328999999999482
2022-05-26-10:30,1.0023102,1002310.1999999998,-0.0015328999999999482
2022-05-26-10:35,1.0025708999999998,1002570.8999999998,-0.0015328999999999482
2022-05-26-10:40,1.0020675999999997,1002067.5999999997,-0.0015328999999999482
2022-05-26-10:45,1.0016629999999997,1001662.9999999998,-0.0015328999999999482
2022-05-26-10:50,1.0020919999999998,1002091.9999999998,-0.0015328999999999482
2022-05-26-10:55,1.0027947,1002794.6999999998,-0.0015328999999999482
2022-05-26-11:00,1.0020547,1002054.6999999998,-0.0015328999999999482
2022-05-26-11:05,1.0018027,1001802.6999999998,-0.0015328999999999482
2022-05-26-11:10,1.0019107,1001910.6999999998,-0.0015328999999999482
2022-05-26-11:15,1.0020547,1002054.6999999998,-0.0015328999999999482
2022-05-26-11:20,1.0020074,1002007.3999999998,-0.0015328999999999482
2022-05-26-11:25,1.0018224,1001822.3999999998,-0.0015328999999999482
2022-05-26-11:30,1.0018731,1001873.0999999997,-0.0015328999999999482
2022-05-26-13:05,1.0024205,1002420.4999999998,-0.0015328999999999482
2022-05-26-13:10,1.0020626,1002062.5999999997,-0.0015328999999999482
2022-05-26-13:15,1.0017395999999998,1001739.5999999997,-0.0015328999999999482
2022-05-26-13:20,1.0021795999999998,1002179.5999999997,-0.0015328999999999482
2022-05-26-13:25,1.0027726,1002772.5999999997,-0.0015328999999999482
