,value
long,49.998578535891966
short,
ir,
ic,
SR,0.025946618102554775
Annualized_Ret,0.7652384750601395
Annualized_SR,2.2253176703898463
Net_Ret,0.19130961876503486
Net_Profit,195505.89108304214
Gross_Profit,216583.89108304214
maxdd,-0.12670765581359283
tvr,190.12220499054212
win,0.38778705636743216
