,value
long,94.32996949072988
short,-93.59556054171007
ir,
ic,
SR,-0.009130267676074947
Annualized_Ret,-0.4548510587704646
Annualized_SR,-1.0150010299806014
Net_Ret,0.8603503000000003
Net_Profit,-139649.7000000015
Gross_Profit,228456.99999999854
maxdd,-0.4209819999999981
tvr,0.0345098511644817
win,0.5026719459672844
