,value
long,94.4645642332712
short,-93.71057199537114
ir,
ic,
SR,-0.023441495429491425
Annualized_Ret,-4.429795062400093
Annualized_SR,-5.430354912831081
Net_Ret,0.19008099999999878
Net_Profit,-809919.0000000005
Gross_Profit,-396.000000000422
maxdd,-0.8629065000000002
tvr,0.21184119215188338
win,0.49701201805715445
