,value
long,94.02022122364328
short,-95.07052546956076
ir,
ic,
SR,-0.005164054185303418
Annualized_Ret,-0.46816173084872964
Annualized_SR,-0.5568293242633049
Net_Ret,0.7876122000000013
Net_Profit,-212387.79999999877
Gross_Profit,177373.00000000125
maxdd,-0.48206039999999917
tvr,0.05247057111710565
win,0.4987084383987038
