,cumulative_return,cumulative_capital,maxdd
2022-05-26-09:40,1.0,1000000.0,0.0
2022-05-26-09:45,1.028695,1028695.0,0.0
2022-05-26-09:50,1.0344167999999998,1034416.7999999999,0.0
2022-05-26-09:55,1.0489447,1048944.7,0.0
2022-05-26-10:00,1.0773544,1077354.4,0.0
2022-05-26-10:05,1.0867706000000001,1086770.6,0.0
2022-05-26-10:10,1.0712572000000002,1071257.2000000002,-0.0155133999999999
2022-05-26-10:15,1.0647057000000002,1064705.7000000002,-0.022064899999999943
2022-05-26-10:20,1.0509435000000003,1050943.5000000002,-0.03582709999999989
2022-05-26-10:25,1.0105379000000003,1010537.9000000003,-0.07623269999999982
2022-05-26-10:30,0.9964518000000003,996451.8000000002,-0.09031879999999981
2022-05-26-10:35,0.9866990000000002,986699.0000000001,-0.10007159999999993
2022-05-26-10:40,0.996693,996693.0000000001,-0.10007159999999993
2022-05-26-10:45,1.0157041,1015704.1000000001,-0.10007159999999993
2022-05-26-10:50,1.0107402,1010740.2000000001,-0.10007159999999993
2022-05-26-10:55,1.0105147,1010514.7000000001,-0.10007159999999993
2022-05-26-11:00,1.0024741000000001,1002474.1000000001,-0.10007159999999993
2022-05-26-11:05,1.0141558000000004,1014155.8000000002,-0.10007159999999993
2022-05-26-11:10,1.0217077000000003,1021707.7000000002,-0.10007159999999993
2022-05-26-11:15,1.0265637000000003,1026563.7000000001,-0.10007159999999993
2022-05-26-11:20,1.0295584000000002,1029558.4,-0.10007159999999993
2022-05-26-11:25,1.0173088000000001,1017308.7999999999,-0.10007159999999993
2022-05-26-11:30,1.0034075000000002,1003407.5,-0.10007159999999993
2022-05-26-13:05,1.0003577000000003,1000357.7000000001,-0.10007159999999993
2022-05-26-13:10,0.9712917000000003,971291.7000000001,-0.11547889999999983
2022-05-26-13:15,0.9809155000000002,980915.5,-0.11547889999999983
2022-05-26-13:20,0.9832375000000002,983237.5000000001,-0.11547889999999983
2022-05-26-13:25,0.9740068000000002,974006.8000000002,-0.11547889999999983
2022-05-26-13:30,0.9821788,982178.8,-0.11547889999999983
2022-05-26-13:35,0.9804806,980480.6000000001,-0.11547889999999983
2022-05-26-13:40,0.9898344000000001,989834.4000000003,-0.11547889999999983
2022-05-26-13:45,0.9918188000000001,991818.8000000003,-0.11547889999999983
2022-05-26-13:50,0.9659536,965953.6000000002,-0.12081700000000017
2022-05-26-13:55,0.9900496000000002,990049.6000000003,-0.12081700000000017
2022-05-26-14:00,0.9805712000000001,980571.2000000003,-0.12081700000000017
2022-05-26-14:05,0.9770712,977071.2000000003,-0.12081700000000017
2022-05-26-14:10,0.9802929999999999,980293.0000000002,-0.12081700000000017
2022-05-26-14:15,0.9806416999999998,980641.7000000003,-0.12081700000000017
2022-05-26-14:20,0.9905036999999999,990503.7000000003,-0.12081700000000017
2022-05-26-14:25,0.9850936999999999,985093.7000000003,-0.12081700000000017
2022-05-26-14:30,0.9819634999999999,981963.5000000003,-0.12081700000000017
2022-05-26-14:35,0.9864914999999999,986491.5000000003,-0.12081700000000017
2022-05-26-14:40,0.9815877999999998,981587.8000000003,-0.12081700000000017
2022-05-26-14:45,0.9787297999999997,978729.8000000002,-0.12081700000000017
2022-05-26-14:50,0.9726694999999996,972669.5000000001,-0.12081700000000017
2022-05-26-14:55,0.9786434999999997,978643.5000000001,-0.12081700000000017
2022-05-26-15:00,0.9790236999999997,979023.7000000002,-0.12081700000000017
2022-05-27-09:35,0.9685827999999997,968582.8000000002,-0.12081700000000017
2022-05-27-09:40,0.9536470999999999,953647.1000000002,-0.13312350000000028
2022-05-27-09:45,0.9512418999999999,951241.9000000001,-0.13552870000000028
2022-05-27-09:50,0.9511576999999999,951157.7000000002,-0.13561290000000026
2022-05-27-09:55,0.9461674999999998,946167.5000000001,-0.14060310000000031
2022-05-27-10:00,0.9537420999999997,953742.1,-0.14060310000000031
2022-05-27-10:05,0.9559031999999997,955903.2,-0.14060310000000031
2022-05-27-10:10,0.9510785999999999,951078.6000000001,-0.14060310000000031
2022-05-27-10:15,0.9408784,940878.4000000001,-0.14589220000000014
2022-05-27-10:20,0.9341616999999999,934161.7000000001,-0.15260890000000027
2022-05-27-10:25,0.9340940999999999,934094.1000000001,-0.15267650000000021
2022-05-27-10:30,0.9389421999999997,938942.2,-0.15267650000000021
2022-05-27-10:35,0.9478158999999997,947815.8999999999,-0.15267650000000021
2022-05-27-10:40,0.9480041999999995,948004.1999999998,-0.15267650000000021
2022-05-27-10:45,0.9609081999999994,960908.1999999998,-0.15267650000000021
2022-05-27-10:50,0.9603255999999994,960325.5999999999,-0.15267650000000021
2022-05-27-10:55,0.9516346999999995,951634.7,-0.15267650000000021
2022-05-27-11:00,0.9488846999999995,948884.7,-0.15267650000000021
2022-05-27-11:05,0.9548846999999995,954884.7000000001,-0.15267650000000021
2022-05-27-11:10,0.9564751999999994,956475.2000000001,-0.15267650000000021
2022-05-27-11:15,0.9502435999999994,950243.6000000001,-0.15267650000000021
2022-05-27-11:20,0.9500275999999994,950027.6000000001,-0.15267650000000021
2022-05-27-11:25,0.9460187999999995,946018.8,-0.15267650000000021
2022-05-27-11:30,0.9549835999999996,954983.6000000001,-0.15267650000000021
2022-05-27-13:05,0.9477929999999994,947793.0,-0.15267650000000021
2022-05-27-13:10,0.9516036999999994,951603.7,-0.15267650000000021
2022-05-27-13:15,0.9629101999999995,962910.2,-0.15267650000000021
