,value
long,89.21775898520085
short,-186.93992148830858
ir,
ic,
SR,0.04202699366567271
Annualized_Ret,25.360869937496112
Annualized_SR,3.1346240284697515
Net_Ret,1.8433362934891397
Net_Profit,539448.4000000008
Gross_Profit,595353.0000000007
maxdd,42.38956318030166
tvr,0.0027549849928270144
win,0.47269900497512446
