,value
long,95.41095625241967
short,-109.8558973720264
ir,
ic,
SR,0.046160959475742135
Annualized_Ret,5.234579085556067
Annualized_SR,5.802294541215317
Net_Ret,2.943358499999987
Net_Profit,1943358.500000002
Gross_Profit,2779902.000000002
maxdd,0.6287099999999988
tvr,0.0645642937603586
win,0.5153301151353978
